valid_loss,epoch,step,train_loss
0.689716637134552,0,5,
0.6876053214073181,1,11,
0.6421129703521729,2,17,
0.6159234046936035,3,23,
0.5849018096923828,4,29,
0.54139643907547,5,35,
0.5085735321044922,6,41,
0.4938821494579315,7,47,
,8,49,0.5662299990653992
0.46728694438934326,8,53,
0.45087671279907227,9,59,
0.4298252463340759,10,65,
0.4110420048236847,11,71,
0.4168599545955658,12,77,
0.3888450562953949,13,83,
0.38363903760910034,14,89,
0.38536491990089417,15,95,
,16,99,0.48636364936828613
0.3705120086669922,16,101,
0.3681061565876007,17,107,
0.36453109979629517,18,113,
0.3615078628063202,19,119,
0.35871636867523193,20,125,
0.3564406633377075,21,131,
